age,income,employment_years,credit_score,existing_loans,loan_amount,utilization_ratio,late_payments,debt_to_income,risk
57,50428.40200271612,17,679,1,14129.991817331058,0.4834710926778595,0,0.2801990794110431,0
27,51388.26879635442,19,327,3,1000.0,0.9747332170039708,2,0.01945969427308168,1
41,75952.05699999508,16,448,2,19940.965320677205,0.844086323785287,2,0.26254674472711775,1
29,40261.49351662695,15,719,0,24778.762051743797,0.197137769736432,3,0.6154456749477217,1
59,42395.596183553454,39,579,3,11928.45102349233,0.5576671284513272,3,0.2813606151886063,1
38,34793.71417312813,38,481,4,13918.959943394384,0.7570711238455143,1,0.4000423718530248,1
24,76980.21826553106,31,465,5,13692.742154149502,0.7285535064992912,1,0.1778735168938929,1
45,57895.260638374646,8,316,1,16447.285401800204,0.7847576671640232,0,0.28408690487695065,1
34,33727.69707841867,26,449,3,14694.643304268575,0.5117091893992317,1,0.4356847510253296,1
29,77076.17124618137,32,638,1,21144.935619445554,0.2583306363972539,1,0.2743381680429949,0
46,48889.15676849129,9,344,0,24864.313067607567,0.5183851995274354,0,0.5085854351170246,1
22,42566.4384232623,16,801,1,8487.430220062537,0.6830985242559627,1,0.19939253868663365,0
40,56086.42882246096,35,488,1,12525.372057805625,0.6477328779446512,2,0.2233226882291636,1
48,89574.47218935782,16,360,4,22212.955591397957,0.1634698484097467,1,0.247983103315869,1
27,52100.75607006859,17,593,1,3626.6476155277414,0.1584571906739726,0,0.06960834907367529,1
64,71506.7772823117,22,332,3,1000.0,0.9687320480396907,0,0.01398468841704275,1
28,74541.60040901908,33,598,1,16810.527623187827,0.23662490953579396,1,0.22551873760351748,1
55,68865.46596012812,7,714,2,18970.771288563938,0.3650162176105498,1,0.2754758284732681,0
34,85421.43299348524,12,848,1,9221.598496371262,0.7908710339405489,1,0.10795415357963566,0
37,45857.679907354424,22,730,2,10370.791567036358,0.4687093682408574,2,0.22615168469029204,0
56,39133.30313899327,19,794,5,8918.461426072809,0.2633183679340294,3,0.2278995308521825,0
60,38740.6668795001,21,399,1,8064.598085244525,0.5205091440788033,2,0.20816879870263574,1
24,57110.631694004136,22,322,5,20547.9665648368,0.6120549736870292,3,0.3597923180911701,1
22,41059.066843189416,34,719,1,5556.01210401889,0.5074899483502681,1,0.13531754448385575,0
26,62950.81823730657,2,723,3,12875.81710853321,0.9270514679248981,2,0.2045377243548299,1
62,61539.76839449786,33,786,2,7757.31065988118,0.35622936558955387,1,0.12605362129661093,0
24,80371.46606372081,32,388,5,3357.688192790276,0.6951989446297039,1,0.04177711764182831,1
49,65822.88616472081,16,508,5,21961.425397974166,0.20106524926890795,2,0.33364421825892016,1
38,51676.96288277104,18,570,2,10841.39822261169,0.45305691189762387,2,0.209791706358699,1
46,68216.98408865365,29,705,4,16507.520643366053,0.7668939264264762,2,0.2419854947253774,0
64,39396.11960204119,22,577,1,2935.3929615919187,0.3023352465305189,0,0.0745096976870745,1
54,59237.186239513656,14,505,1,9064.484369948193,0.6307939410889714,1,0.15302017103408277,1
30,66388.02467191161,13,627,3,21048.703045560043,0.2380933262881543,0,0.31705572126271786,0
56,62586.35196300253,1,635,4,35698.17164676248,0.19243152222523396,0,0.5703826877122539,0
34,68301.30189871968,38,337,4,1000.0,0.5709094740325384,2,0.01464100935415325,1
51,47119.079685744175,17,527,3,13391.13763768459,0.7075098964774258,5,0.28419777565681237,1
35,83040.62805619033,5,782,5,18298.244785148,0.2020303596110351,0,0.22035291896836687,0
28,96443.37898791413,31,433,2,10071.19877408573,0.9259986271356235,3,0.10442602571346872,1
34,27946.477102828114,20,689,5,21796.17589595299,0.30319503642772017,2,0.7799257064049505,1
43,35688.04008091503,39,724,0,8066.138634717495,0.20797777734337003,1,0.22601797735121468,0
60,60861.66016048771,27,809,3,16230.78128173313,0.2824290175151895,3,0.2666831834513511,0
41,54868.980388942524,26,726,2,10823.424764013122,0.2526152108786578,1,0.19725944763854794,0
36,97928.24811545564,1,773,5,24755.44866363818,0.18160718555165412,0,0.2527917035179875,0
38,64395.68646848922,32,660,5,9589.083975715155,0.8180553113008366,1,0.1489087934547819,1
44,87850.90507451915,15,510,4,12185.009629707873,0.5459839972696999,1,0.13870101417136216,1
46,20000.0,38,478,3,22565.512299977243,0.4496674963408145,1,1.1282756149988622,1
45,76283.38966664704,21,357,0,6775.690727257092,0.9555651342857198,0,0.08882262255081186,1
61,45689.66361483358,12,372,1,15550.000454108578,0.4339075483583117,1,0.3403395696933983,1
49,45369.148607606854,1,514,3,1000.0,0.2502754534424705,0,0.02204140987191314,1
35,55032.83947175752,13,372,0,6296.532330967402,0.34663860273393665,0,0.11441409150256075,1
21,31508.32720537816,37,766,0,18057.050207126427,0.3150698802297368,3,0.5730881899704364,0
45,68855.71050643706,27,570,3,7074.419923710141,0.5488671516069744,2,0.10274267554103274,1
27,63814.2993343359,6,798,2,10643.416545409667,0.3623546115591165,1,0.1667873291164207,0
29,65323.84496374541,17,653,3,18944.6912163835,0.5644550549677256,1,0.2900118819842549,0
44,77740.62044265812,35,533,5,10366.510870824557,0.70236408245211,3,0.1333474162130073,1
21,90295.64092388308,35,618,4,21582.73658573086,0.7995689071419321,2,0.23902301777695512,0
64,52725.77901824906,3,318,5,16725.302299888514,0.7391420031405077,1,0.3172129954514219,1
28,69547.01279472947,29,671,0,18485.464895396024,0.28503164481072485,2,0.26579811486593313,0
44,65859.76416669959,23,483,0,24927.724789908258,0.2043097473184784,1,0.3784970247815185,1
31,67552.2901265788,19,576,1,17558.584500912526,0.5882051431911258,3,0.259925821434202,1
37,67851.95328931967,30,444,0,27310.778323754752,0.27902061208733064,3,0.40250541067406,1
28,91810.06689129678,23,380,1,22290.09826430259,0.17644034959436194,1,0.24278490386783064,1
55,50806.462630214126,6,621,0,10812.380561324346,0.5743849086814754,1,0.21281506331232602,0
55,29485.281935926356,25,734,0,25345.18460017017,0.39411476659701594,1,0.8595876632703423,1
53,46042.52462768226,12,342,3,17110.928167223563,0.7805341107446534,2,0.37163314361211025,1
25,75145.3386707081,7,612,3,11842.562330715973,0.3827724674935763,3,0.15759543492924924,0
62,60466.59017294354,4,592,4,17227.08556256706,0.9808454233502324,0,0.28490254722971814,1
59,50648.01319010008,12,368,5,23898.614595122104,0.7826708721346373,0,0.47185690197603747,1
61,38470.05463180716,28,355,2,18640.360753937774,0.15192389933997594,1,0.48454209208545984,1
48,64425.72243461065,19,503,4,29579.14266041118,0.5579854663206486,0,0.4591200772398438,1
27,72890.12550547619,13,719,0,23692.244463190575,0.6063584510926993,3,0.32504052227774793,0
29,66117.44110192056,31,849,4,19185.2802672173,0.7257724396134378,0,0.29016973354493614,0
28,54933.39337690108,26,542,3,6791.455338070738,0.5480171173303824,5,0.1236307266051122,1
32,62932.82568594925,24,500,5,13562.139887919033,0.5350992385731159,1,0.21550184248197513,1
54,62816.859331148306,3,773,0,15573.31311800681,0.43114475050985146,1,0.2479161372253554,0
53,63793.93862435325,20,826,0,20573.052009741976,0.3443152455092564,1,0.3224922689110818,0
43,36313.900979617596,17,376,4,20098.66433017754,0.951580190779061,1,0.5534702631220644,1
44,63946.527012297556,38,777,5,16356.323281746289,0.3858370026709348,2,0.25578126046784067,0
57,51188.07063067611,14,739,1,15962.799323017369,0.15707919212229762,1,0.3118460830100352,0
55,80812.37212019518,37,562,2,20763.655160608556,0.25055626536407105,5,0.2569365879982587,1
64,62658.37283500548,23,484,5,8131.310194960113,0.8715489724371607,1,0.1297721250497807,1
60,76709.58443645784,7,354,4,28564.126553998853,0.6279701132110456,2,0.37236711375564635,1
42,53964.37225900496,27,607,4,1000.0,0.8009024944393591,0,0.0185307446031327,1
47,54685.72324777083,20,815,2,26643.275857376233,0.8279033915257249,1,0.487207158926298,1
55,89885.02492512664,15,598,0,14638.515772598703,0.8409127952899659,3,0.16285822677128306,1
21,68726.70376831017,15,529,0,23020.63851417275,0.5955523369701479,1,0.3349591534577212,1
55,45709.70935188523,34,676,1,17910.723474340903,0.2594085361291944,1,0.391836301921316,0
57,77939.48877240949,16,585,4,17768.275287286415,0.23340947701252757,0,0.2279752608997914,1
34,49333.905331442584,8,437,2,19434.035808212167,0.6165859783376012,0,0.3939285908473586,1
23,64513.96275623046,34,777,4,21472.43431270223,0.42986291831710877,0,0.33283390750366704,0
21,96733.4926171881,28,306,3,12369.35338730208,0.6022434171211906,3,0.127870430940113,1
25,31374.352247238916,38,718,4,23278.39304420989,0.5486300598140783,1,0.741956132218108,1
46,56484.36156466927,17,771,4,6324.235011369732,0.6419782717277936,0,0.11196435325075028,0
34,68165.43281804062,11,719,3,14957.355413391002,0.1289006116629088,1,0.21942727853453017,0
59,75293.96669329348,18,575,3,21687.759394178214,0.12955301256711102,1,0.2880411319345454,1
47,35175.321852782545,21,389,2,22960.140636927114,0.7494356537636578,3,0.652734344067156,1
29,29284.19462849964,14,581,0,18686.31078609121,0.2738145194404479,1,0.6381022603881181,1
35,81814.98703980852,0,847,1,11852.860496354115,0.6869786159728507,0,0.1448739518908302,0
35,45591.70286392325,1,470,3,22173.66222694963,0.5919183197123091,1,0.48635301675682013,1
46,44754.3498400537,7,654,0,9645.070087049973,0.983615024264161,2,0.21551134407091635,1
62,91004.99345544333,21,503,2,29011.272589991288,0.851865290994756,2,0.31878770041553167,1
33,61394.04629463645,24,588,5,14322.632820002687,0.47182106919821454,2,0.23329025670122594,1
52,61524.76455363148,1,761,4,2682.994446352315,0.6547715380838485,1,0.043608365929032264,0
59,56404.011096969356,8,472,2,5442.532255867585,0.20556051150292481,1,0.09649193647790091,1
52,35520.3586651366,8,600,2,15349.1490950367,0.44774743866614286,1,0.4321225818618201,0
24,73513.93898788776,12,828,3,16118.602170608425,0.7604989669808869,1,0.21925912816702892,0
50,68189.01043851247,5,439,1,30757.253479608764,0.6604044257157883,1,0.45105880378398006,1
57,63373.82650678865,29,577,3,6692.00529908619,0.536024191939622,1,0.10559572725767691,1
43,57673.53921447484,14,810,4,15315.697594431445,0.2588761936474022,1,0.26555848319756886,0
59,54153.607013234265,14,645,3,6524.628743343546,0.8228313335417902,0,0.12048373327651163,1
35,78249.6677909483,6,439,4,11058.761174292773,0.34584994397041924,2,0.1413266213964939,1
63,57174.1387358781,10,413,3,28471.776240554704,0.8384311734957186,2,0.49798347417322797,1
49,58718.779229322216,39,806,5,5909.310214752073,0.6504481565154941,2,0.10063748416283762,0
56,70597.86309767546,37,665,1,19696.33939254267,0.4354582851539087,2,0.27899342173136116,0
33,64159.21861360772,39,696,5,18143.258872115133,0.13654469976399236,2,0.28278491016826496,0
52,92845.52115080877,1,410,0,14806.62858913433,0.3091769599099392,1,0.1594759596974415,1
27,24772.664450533914,38,657,1,19155.4929855339,0.9001638329393475,1,0.7732512190516935,1
42,65998.14876734526,9,537,3,5719.836944453691,0.8361769095061456,2,0.08666662703854153,1
48,45887.88439055662,16,302,2,28250.58006242846,0.6173679816406881,0,0.6156435503102474,1
22,41158.26930490141,6,703,0,30398.763960988166,0.5196902175659143,1,0.7385821725348415,1
62,50858.71587911305,39,324,2,15376.837582074506,0.6824284113970982,1,0.3023441963934751,1
26,61093.58816963523,38,808,5,34384.849044908435,0.5196233150589714,1,0.5628225493882255,0
48,61981.381518468195,3,764,1,11807.776547600637,0.6798743566472263,2,0.19050521718497593,0
48,29653.87568643014,34,360,0,18203.455950850243,0.3766636896941421,3,0.6138643104644934,1
64,49178.32340644361,35,807,5,26455.112510196108,0.8546474961203276,3,0.5379425461814303,1
64,65624.43102952918,30,422,3,11327.964318216724,0.73172610411874,0,0.1726180957381475,1
40,42461.39098432691,24,796,2,3947.6075289644923,0.39697806558492266,1,0.09296934079294787,0
50,37704.3219056697,12,354,3,2106.263475049169,0.8475995033410971,3,0.05586265363208785,1
31,20000.0,17,462,4,31486.612511221272,0.538608277767861,1,1.5743306255610636,1
48,46736.13103249283,20,338,0,10767.80279488978,0.2571749782637154,0,0.23039568224857065,1
45,37007.41602098373,0,382,2,13514.10589265201,0.169941215803174,2,0.36517291250459966,1
59,40321.342337798844,35,845,1,6097.887373431566,0.7296451728734984,0,0.15123225120695352,0
53,54563.593934406934,7,412,1,22586.714234633506,0.8786087237872096,0,0.4139520989358929,1
21,48003.42246914204,20,724,1,8747.52112620332,0.8266977897350892,2,0.18222703041281016,1
47,36675.24212281388,20,529,5,11069.895778709424,0.6900859271999367,1,0.3018356563711241,1
33,20000.0,26,582,1,17396.163355329285,0.22723755004429125,0,0.8698081677664643,1
61,66046.22610295285,18,586,2,6487.63258203542,0.1846396683789882,0,0.09822866444969162,1
23,75056.54427616946,22,454,5,13571.341843886197,0.4105266607105529,2,0.18081490394695823,1
59,52065.100420112525,34,464,4,26217.67671602616,0.8694198013588919,0,0.5035556736561749,1
26,54684.486070914456,39,481,1,18426.035180134906,0.9655626432759977,2,0.3369517847573835,1
28,60056.21031372246,4,538,1,16044.338339426868,0.31722476936236416,1,0.26715535754943964,1
47,91575.67153224503,7,638,5,16718.91767571092,0.785886103523548,0,0.1825694247824758,0
29,28645.844123484578,10,811,1,11886.91923218749,0.6164822952164851,4,0.4149613878001346,1
57,51710.20548254861,15,565,4,30969.218558039407,0.12862663037014846,1,0.5988995454386858,1
53,25560.54071734561,38,486,5,8502.74295572746,0.5886247149396459,0,0.332651137929857,1
62,67246.36917471117,23,339,5,16687.40929571144,0.8253463626904197,2,0.24815331296707313,1
64,57120.83212423977,20,792,0,15920.204530742458,0.3485105050096239,2,0.27871100505180785,0
44,64059.842258721554,22,690,5,23070.10005706508,0.9076254615734148,2,0.3601335757882569,1
35,63062.45125182153,37,559,1,23825.391510349116,0.3126343661871732,1,0.3778063021243712,1
52,79814.16507407032,7,475,5,14743.849564103433,0.16882581937964888,2,0.18472722918821025,1
52,70762.65929136932,6,628,1,17325.331944904396,0.24394537849560763,0,0.2448372081886627,0
44,76610.15915320175,1,499,1,17628.278031311587,0.8533025818488265,1,0.23010366022160722,1
61,38689.306202061125,29,495,5,1000.0,0.4755753271355755,1,0.025846935449742602,1
32,83863.4172995029,12,830,0,2288.0831801777967,0.817251007259492,2,0.027283447942579364,1
59,45552.74521022001,22,361,1,10159.490474224236,0.5781097548906357,2,0.2230269641783279,1
22,46702.60914752039,28,626,0,10507.21058898505,0.5325032123149883,0,0.22498123297128286,0
23,65416.851547059894,37,580,0,5405.740624286942,0.8262218363432188,0,0.08263529192318486,1
57,66038.36526098552,36,526,5,20996.66057098904,0.48113885054113836,0,0.3179464011262186,1
37,38562.86395535043,19,357,3,15016.94736813978,0.8218294579597315,2,0.3894147329287311,1
22,56534.41416452206,32,776,3,13282.443620905302,0.19059594846710104,1,0.2349443930249594,0
22,89764.70633738952,28,675,1,4950.757803940905,0.6726797339853309,1,0.05515260959394211,0
48,30633.2687693181,14,542,2,14643.64108604169,0.7323283508967863,4,0.4780306403575377,1
43,89704.38482025452,22,666,3,1000.0,0.9091876565275684,3,0.011147727081610933,1
57,55166.0309716702,2,799,5,13696.349513553272,0.30189152684457543,0,0.2482750575365274,0
52,20000.0,36,551,5,15505.469350462048,0.6437978920835664,5,0.7752734675231024,1
53,32665.365330341872,28,621,3,16935.31987457199,0.48993090732030076,4,0.5184488127809573,1
21,40730.44924529613,7,675,2,2487.1858921657604,0.44449448998962615,0,0.061064533739533945,0
39,47521.413984345156,21,708,4,16798.5338935318,0.19604219969076173,1,0.35349398271410215,0
22,57905.73482749324,28,787,1,6668.549841083661,0.22080999753544803,2,0.11516216590549992,0
64,20000.0,1,642,4,8500.241341661327,0.8532896153028816,2,0.4250120670830664,1
46,63736.08784955307,0,539,4,20743.451086581317,0.7747780890930058,0,0.3254584927701485,1
52,38898.189833502314,19,438,0,31112.909786877954,0.4441070172619904,2,0.7998549526353784,1
26,87810.45143202117,20,421,0,15410.87007042144,0.8456379232506678,4,0.17550154701518453,1
52,54596.46558512051,36,719,1,8463.236330878142,0.17268956634122062,1,0.15501436292946913,0
24,78856.9234346546,7,603,2,16509.36358007999,0.6622965253298517,1,0.20935845403302605,0
31,82206.97959828586,26,414,0,22512.233259993165,0.8813584474428595,1,0.2738481984133447,1
37,81665.46486932434,34,642,3,19967.980526981883,0.8549778079281245,2,0.2445094821774825,1
58,48671.86514075029,5,550,1,36944.902979709965,0.4355044839476738,3,0.7590607607263856,1
44,48415.99684557352,18,306,5,9277.299447242665,0.7707104677512902,1,0.19161640886654285,1
25,55500.5340142337,17,478,4,17017.851839354385,0.48472133096788983,1,0.30662501076097715,1
54,72724.74750757852,0,444,1,27391.343627345625,0.8561243479509544,1,0.376644052624469,1
26,49786.09460491675,24,715,5,26889.273896148254,0.5776857551395207,1,0.5400960671756072,0
42,57614.75052819504,26,420,5,1000.0,0.788371344194537,3,0.017356666319515313,1
31,65471.876326788995,6,423,0,14973.13903968015,0.17071442406250453,1,0.22869573746359279,1
36,41902.16147904267,28,449,5,26876.166126789598,0.6310233744479765,2,0.6414028579464018,1
53,40637.83423341764,30,696,2,38125.1439231931,0.5952557597224049,0,0.9381686953150106,1
29,56834.72237192019,35,680,5,20630.36707000655,0.6489790495616441,2,0.3629887894059496,0
26,59483.57629903283,18,300,5,12057.09365042813,0.7260774471240311,2,0.20269617935907752,1
36,68677.70960003286,5,543,4,6926.374780500881,0.9262980730307278,0,0.1008533164667094,1
49,73437.73149903111,24,697,2,32749.946860246793,0.8071138735984279,1,0.4459553174062692,1
23,38018.74358856703,30,550,1,20829.932691726073,0.29767419229141423,1,0.5478858774804446,1
40,43758.3013611287,8,598,2,8215.464584916659,0.8433066423628864,0,0.18774642363550717,1
56,40584.954248737966,19,596,2,13374.749069329751,0.20987170985358608,0,0.329549443061049,1
39,88248.94803182843,9,799,1,17481.492134629632,0.6599787271075627,2,0.1980929237629512,0
46,57594.58819594929,36,414,4,19350.45323110494,0.8944784274213489,0,0.33597693528549066,1
23,60322.58590490042,26,300,5,7803.050739633681,0.19100984879341354,0,0.12935537531390517,1
39,61155.48728027026,12,781,2,10086.476654996059,0.8647233879792345,2,0.16493167013404073,1
40,45686.59972564722,1,809,2,1776.5235010163215,0.818758660807221,1,0.03888500154716109,1
52,91285.39037892061,20,634,1,23318.09831683825,0.5533978904551637,2,0.2554417330094785,0
27,68220.53309637457,32,764,3,12267.052265837472,0.3780078420658637,1,0.17981466442819952,0
61,60791.81059555898,23,440,2,18730.573193466338,0.4648944052643895,2,0.30811013868428294,1
53,37894.87157698868,33,436,0,26378.068068610613,0.9717923221301906,5,0.696085432431666,1
60,36761.350166875105,8,466,5,16758.961138991566,0.2815278005366617,3,0.45588535412643033,1
59,53821.849367884635,1,642,5,14096.236192407456,0.6216438590469058,2,0.26190545954778444,0
38,46000.1641285634,29,709,4,16551.371815071474,0.1749166730908155,2,0.3598111469518441,0
60,38651.11308906897,21,364,2,15505.548830801814,0.296103757770255,1,0.4011669416885948,1
21,52580.839608568895,10,366,1,24969.31998302356,0.7869847492670685,0,0.4748748815900309,1
31,55671.439434482214,16,732,0,17486.707180310317,0.37233913632447446,2,0.314105533428677,0
48,62835.7084092054,35,349,1,10644.7918433687,0.9871894635064611,5,0.1694067292763941,1
45,49921.61057251474,12,613,2,23382.792455118004,0.550735338784456,1,0.46839018587256537,0
43,39847.98610679938,6,608,0,24843.874850866814,0.5648853927769686,1,0.6234662596067215,1
51,40541.58228017506,15,414,4,4293.354985436292,0.13268326540216174,1,0.10590003507425395,1
50,84259.45458452376,32,641,4,27262.271078144844,0.9608740746195394,0,0.3235514781406169,1
62,34964.84627276515,0,829,4,17917.694185667882,0.25681009679597616,3,0.512448819190844,0
55,67263.6459658254,10,794,3,17266.15960117279,0.5845065389293984,1,0.2566937809161459,0
27,70390.92659548792,5,568,1,23052.99705277212,0.4561071489628584,0,0.3274995538167816,1
36,57574.49048328662,19,379,2,10464.188871965769,0.47402623067014515,1,0.18175043815634692,1
46,95356.58116810358,34,755,0,22633.31611352739,0.6789701494324976,0,0.2373545258887506,0
22,70034.37986055398,36,598,5,11985.796242097158,0.6958798093832297,1,0.17114160596498712,1
21,96858.060966093,25,501,5,3200.394562317295,0.23885975337228718,0,0.03304210852866086,1
32,46978.719961702554,11,802,1,7017.949767144526,0.549627987809703,3,0.14938571704094147,0
25,47321.09180213163,29,784,2,19536.174663225815,0.8114297042276712,3,0.4128428554631486,1
57,70550.74317360029,27,317,3,7436.253280042734,0.49895783519700665,0,0.10540290499484548,1
52,54770.68725361594,26,777,2,27880.608985517196,0.2492240237439221,4,0.5090425259120065,1
29,93713.30849784035,18,787,1,24514.267627517143,0.38189524884102166,3,0.2615879005923911,0
61,66834.00767261874,4,745,2,25667.513328263718,0.2911416076945632,2,0.3840486935033743,0
55,39108.51560286569,4,639,5,15998.228637419295,0.21323572112335337,2,0.40907276563181594,0
39,25263.671829119485,26,830,5,17062.892938359677,0.4398230146918184,3,0.6753924391423022,1
36,58435.22815313471,27,415,0,5450.30516604578,0.5868426188782676,0,0.09327088022592761,1
23,58217.53740933533,25,373,3,22966.26808125992,0.1654763727489686,3,0.3944905453451424,1
40,66275.31846616775,26,568,5,18038.667640296684,0.6434410350053651,2,0.27217775874596617,1
44,84213.81147511805,20,415,0,19538.44500233808,0.9937219961526468,1,0.23200998339934942,1
53,81582.26607987855,0,463,3,28506.494491623052,0.9677124388180752,3,0.3494202338497422,1
44,48421.979353271345,27,521,5,10152.29612841992,0.8462561337992429,2,0.20966297255946517,1
31,34123.61196391157,14,425,3,13990.867600981455,0.3397070015221627,2,0.4100054711610807,1
28,35317.57729981859,16,475,2,17613.367372337343,0.12016683683143058,0,0.4987139186477498,1
56,45263.96589357243,25,674,0,7516.516756330346,0.8501875325945659,1,0.16605961514737058,1
58,52665.369039219615,19,797,3,13499.209429785282,0.15014820878084192,2,0.25632041844674996,0
60,66101.24277930334,24,384,3,18943.598483735754,0.28506527332369336,1,0.28658460396855195,1
40,43980.64806208041,12,682,2,12396.62982901735,0.590007893902106,4,0.281865556221887,1
55,65607.83942226629,32,762,5,25471.915277832897,0.26054023522927927,3,0.3882449948380425,0
45,67240.80291718103,24,750,5,2912.603505464049,0.8504094981687778,3,0.04331601318103587,1
55,62866.877651917785,7,817,1,23982.169921866735,0.7994437266338461,4,0.3814754417207031,1
45,37427.5400597461,4,849,1,20289.48379852804,0.7801925551635248,3,0.5421003829303144,0
49,69356.53450471917,5,415,5,10449.371299547274,0.8345148543078189,0,0.15066166979315088,1
38,101625.39257533447,22,307,4,7604.731454160015,0.29773160223815087,1,0.0748310167512776,1
38,64917.936538258095,29,517,4,1000.0,0.7560031385347744,1,0.015404063242377858,1
22,20000.0,13,703,3,8638.599900689329,0.41975335233258826,2,0.43192999503446644,0
55,84817.59144093806,22,603,5,23377.413240023976,0.7001602836115596,1,0.27561986662050664,0
36,45945.044466012274,10,766,1,14551.314189770606,0.2098195557680573,1,0.3167112875586594,0
61,105314.25380991385,30,387,3,24303.84704313473,0.7350279220580634,2,0.23077452637134735,1
56,62327.269027319206,5,309,0,10041.031435003584,0.9748969551107016,2,0.16110173912164213,1
53,26305.986120283487,10,607,1,20656.849280852504,0.13924032878684464,1,0.7852528008796005,1
24,20000.0,12,733,1,9260.011183324626,0.18444601105037628,0,0.46300055916623134,0
53,90794.81525351758,11,463,1,7275.399950321288,0.2112730906042125,0,0.08013012560251258,1
34,82118.09971834545,1,538,4,14142.98226263459,0.4875075144471711,0,0.17222734465535863,1
41,104520.3777153338,34,616,2,9680.267909440028,0.3617021664397483,0,0.09261608234716388,0
40,60218.489711471106,35,634,2,2657.4228077023,0.8262281381866243,2,0.04412968210320432,1
28,58869.40233240639,16,317,4,13541.482394264054,0.5264085152808654,0,0.23002581744930928,1
27,52345.62415682885,27,370,5,15851.48333145031,0.5360836084196972,4,0.3028234658919885,1
23,46834.195174815584,27,474,5,25146.868891968537,0.7453342911928184,0,0.5369339389329553,1
37,52151.40891084369,21,638,4,22494.445417064482,0.42577208428217117,1,0.43132958220784096,0
53,64349.26664648059,37,547,4,24759.54559386265,0.4178865226784172,1,0.38476810823479385,1
32,43121.98426175796,6,492,5,20762.85998714807,0.7812337488647324,2,0.48149129365462146,1
42,26614.213062520328,14,718,2,17660.902071599798,0.8020375712530883,3,0.663589114211718,1
42,63197.53268028355,31,624,3,5168.440748224861,0.11295889527953756,1,0.08178231853404805,0
50,42676.08802613136,10,605,4,16198.977583482196,0.22941142825665972,0,0.37957972093326037,0
58,20000.0,23,503,3,19774.350218646512,0.2917883630336318,1,0.9887175109323256,1
